"","countyname","state","numberofplans1","numberofplans2","countyssa","eligibles","totalenrollees","totalpenetration"
"1631","REAGAN ","TX ",0,0,"45872",800,0,0
"1632","REAL ","TX ",0,0,"45873",3472,0,0
"1633","REEVES ","TX ",0,0,"45875",1931,0,0
"1634","REFUGIO ","TX ",0,0,"45876",4683,0,0
"1635","ROCKWALL ","TX ",2,2,"45879",52047,269,0.516840547966261
"1636","RUNNELS ","TX ",1,1,"45880",12165,29,0.238388820386354
"1637","RUSK ","TX ",4,3,"45881",81342,488,0.599936072385729
"1638","SAN AUGUSTINE ","TX ",1,1,"45883",4066,18,0.44269552385637
"1639","SAN JACINTO ","TX ",1,1,"45884",23359,272,1.16443340896442
"1640","SAN PATRICIO ","TX ",4,3,"45885",133029,1991,1.49666614046561
"1641","SAN SABA ","TX ",1,1,"45886",5720,86,1.5034965034965
"1642","SCHLEICHER ","TX ",0,0,"45887",469,0,0
"1643","SCURRY ","TX ",1,1,"45888",13525,42,0.310536044362292
"1644","SHACKELFORD ","TX ",0,0,"45889",611,0,0
"1645","SOMERVELL ","TX ",2,2,"45893",3240,37,1.14197530864198
"1646","STARR ","TX ",0,0,"45900",44100,0,0
"1647","SUTTON ","TX ",1,1,"45904",570,13,2.28070175438596
"1648","SWISHER ","TX ",0,0,"45905",3076,0,0
"1649","TARRANT ","TX ",10,1,"45910",12952884,32515,0.251025177095695
"1650","TERRY ","TX ",0,0,"45913",2093,0,0
"1651","THROCKMORTON ","TX ",0,0,"45920",398,0,0
"1652","TITUS ","TX ",0,0,"45921",16200,0,0
"1653","TOM GREEN ","TX ",2,1,"45930",238728,235,0.0984383901343789
"1654","TRAVIS ","TX ",10,4,"45940",3767166,2369,0.0628854688113027
"1655","TYLER ","TX ",4,4,"45942",37628,167,0.443818433081748
"1656","UPSHUR ","TX ",2,2,"45943",47578,199,0.418260540585985
"1657","UPTON ","TX ",0,0,"45944",1136,0,0
"1658","UVALDE ","TX ",0,0,"45945",28868,0,0
"1659","VAL VERDE ","TX ",0,0,"45946",73268,0,0
"1660","VAN ZANDT ","TX ",1,0,"45947",112512,11,0.00977673492605233
"1661","VICTORIA ","TX ",1,0,"45948",143495,12,0.00836266071988571
"1662","WALLER ","TX ",3,2,"45950",31941,177,0.554146707992862
"1663","WEBB ","TX ",3,0,"45953",393034,42,0.0106860984037004
"1664","WHARTON ","TX ",1,1,"45954",45927,44,0.0958042110305485
"1665","WILBARGER ","TX ",0,0,"45961",13210,0,0
"1666","WILLACY ","TX ",0,0,"45962",20076,0,0
